			[*strength.w=>-p]	[*footmin-s-noHX]	[*footmin-wordbound-lexmono]	[*skip_initial_foot]
	my|FORM|with.in|DIF.FER|ence|SEE					
	MY|form|WITH|ind|IFF|erence|SEE					
	MY|form|WITH|ind|IFF.ERENCE|see					
	my|FORM|with.ind|IFF|erence|SEE					
	my|FORM|with.ind|IFF.ERENCE|see					
They are so unacquainted with man,	they.are|SO|un.ac|QUAINT|ed.with|MAN	2				
	THEY|are|SO|un|AC.QUAINT|ed|WITH|man					
	THEY|are|SO|un|AC.QUAINT|ed.with|MAN					
	THEY|are|SO|un.ac|QUAINT|ed|WITH|man					
	THEY|are|SO|un.ac|QUAINT|ed.with|MAN					
	THEY|are.so|UN|ac|QUAINT|ed|WITH|man					
	THEY|are.so|UN|ac|QUAINT|ed.with|MAN					
	they|ARE|so|UN|ac|QUAINT|ed|WITH|man					
	they|ARE|so|UN|ac|QUAINT|ed.with|MAN					
	they|ARE|so.un|AC.QUAINT|ed|WITH|man					
	they|ARE|so.un|AC.QUAINT|ed.with|MAN					
	they.are|SO|un|AC.QUAINT|ed|WITH|man					
	they.are|SO|un|AC.QUAINT|ed.with|MAN					
	they.are|SO|un.ac|QUAINT|ed|WITH|man					
Their tameness is shocking to me.	their|TAME|ness.is|SHOCK|ing.to|ME	1				
	THEIR|tame|NESS|is|SHOCK|ing|TO|me					
	THEIR|tame|NESS|is|SHOCK|ing.to|ME					
	THEIR|tame|NESS|is|SHOCK.ING|to|ME					
	THEIR|tame|NESS|is|SHOCK.ING|to.me					
	their|TAME|ness.is|SHOCK|ing|TO|me					
	their|TAME|ness.is|SHOCK.ING|to|ME					
	their|TAME|ness.is|SHOCK.ING|to.me					
	their.tame|NESS|is|SHOCK|ing|TO|me					
	their.tame|NESS|is|SHOCK|ing.to|ME					
	their.tame|NESS|is|SHOCK.ING|to|ME					
	their.tame|NESS|is|SHOCK.ING|to.me					
Society, friendship, and love,	so|CI|et.y|FRIEND|ship.and|LOVE	1				
	SO|ci|ET|y|FRIEND|ship|AND|love					
	SO|ci|ET|y|FRIEND|ship.and|LOVE					
	SO.CI|et.y|FRIEND|ship|AND|love					
	SO.CI|et.y|FRIEND|ship.and|LOVE					
	so|CI|et.y|FRIEND|ship|AND|love					
	so.ci|ET|y|FRIEND|ship|AND|love					
	so.ci|ET|y|FRIEND|ship.and|LOVE					
Divinely bestow'd upon man,	DI|vine|LY|be|STOW'D|up|ON|man					
	DI|vine.ly|BE.STOW'D|up|ON|man					
	DI.VINE|ly|BE.STOW'D|up|ON|man					
	di|VINE|ly|BE.STOW'D|up|ON|man					
	di.vine|LY|be|STOW'D|up|ON|man					
Oh had I the wings of a dove,	oh|HAD|i.the|WINGS|of.a|DOVE	2				
	OH|had|I|the|WINGS|of|A|dove					
	OH|had|I|the|WINGS|of.a|DOVE					
	oh|HAD|i|THE|wings|OF|a|DOVE					
	oh|HAD|i.the|WINGS|of|A|dove					
	OH|had.i|THE|wings|OF|a|DOVE					
How soon would I taste you again!	how|SOON|would.i|TASTE|you.ag|AIN	2				
	HOW|soon|WOULD|i|TASTE|you|AG.AIN					
	HOW|soon|WOULD|i|TASTE|you.ag|AIN					
	how|SOON|would|I|taste|YOU|ag|AIN					
	how|SOON|would.i|TASTE|you|AG.AIN					
My sorrows I then might assuage	my|SOR|rows.i|THEN|might.as|SUAGE	2				
	MY|sor|ROWS|i|THEN|might|AS.SUAGE					
	MY|sor.rows|I|then|MIGHT|as|SUAGE					
	my|SOR|rows|I|then|MIGHT|as|SUAGE					
	my|SOR.ROWS|i|THEN|might|AS.SUAGE					
