text_position	strength.w=>-p	stress.s=>-u	stress.w=>-p	footmin-none	footmin-no-s-unless-preceded-by-ww	posthoc-no-final-ww	posthoc-standardize-weakpos	strength.s=>-u
en.yeats.early_pos0	1	25	17	15	0	0	0	0
en.yeats.early_pos1	1	11	6	37	0	0	0	0
en.yeats.early_pos2	1	3	23	30	0	0	0	0
en.yeats.early_pos3	0	21	5	19	0	0	2	0
en.yeats.early_pos4	2	11	11	18	0	0	4	0
en.yeats.early_pos5	2	20	7	14	0	1	21	0
en.yeats.early_pos6	0	7	6	14	0	0	19	0
en.yeats.early_pos7	0	9	1	6	0	0	22	0
en.yeats.early_pos8	2	4	5	1	0	0	12	0
en.yeats.early_pos9	0	5	0	0	0	0	9	0
en.yeats.early_pos10	0	5	0	0	0	0	2	0
en.yeats.early_pos11	0	0	0	0	0	0	1	0
en.yeats.late_pos0	0	2	12	0	0	0	34	22
en.yeats.late_pos1	0	0	12	0	0	0	9	47
en.yeats.late_pos2	0	2	11	1	0	0	21	61
en.yeats.late_pos3	0	1	31	0	0	5	11	35
en.yeats.late_pos4	0	1	11	1	0	5	23	45
en.yeats.late_pos5	0	0	27	1	0	44	8	16
en.yeats.late_pos6	0	2	8	2	0	23	14	26
en.yeats.late_pos7	0	1	27	0	0	25	7	2
en.yeats.late_pos8	0	0	3	0	0	25	13	13
en.yeats.late_pos9	0	0	13	0	0	25	0	3
en.yeats.late_pos10	0	0	1	0	0	4	3	7
en.yeats.late_pos11	0	0	7	0	0	13	1	2
en.yeats.late_pos12	0	0	0	0	0	1	1	1
en.yeats.late_pos13	0	0	1	0	0	2	0	0
en.yeats.late_pos14	0	0	0	0	0	1	0	0
