textname	strength.w=>-p	stress.s=>-u	stress.w=>-p	footmin-none	footmin-no-s-unless-preceded-by-ww	posthoc-no-final-ww	posthoc-standardize-weakpos	strength.s=>-u
en.yeats.early	0.0037037037037	0.377777777778	0.1	0.896296296296	0.6	0.57037037037	0.0	0.0
en.yeats.late	0.747422680412	0.721649484536	0.0	0.474226804124	0.845360824742	0.069587628866	0.0128865979381	0.0
