position	strength.s=>-u	stress.w=>-p	stress.s=>-u	strength.w=>-p	footmin-no-s
pos0	0.0	0.0	0.0	0.0	0.0
pos1	0.0	0.0	0.0	0.0	0.0
pos2	0.0	0.0	0.0	0.0	0.0
pos3	0.0	0.0	0.428571428571	0.0	0.0
pos4	0.0	0.0	0.0	0.0	0.0
pos5	0.0	0.0	0.0	0.0	0.0
pos6	0.0	0.0	0.0	0.0	0.0
