ipa,syl,son,cons,cont,delrel,lat,nas,strid,voi,sg,cg,ant,cor,distr,lab,hi,lo,back,round,velaric,tense,long,hitone,hireg
˩,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-
˨,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,+,-
˧,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
˦,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,+
˥,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,+,+
˩ˤ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,+,+,0,0,0,0,-,-
˨ˤ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,+,+,0,0,0,0,+,-
˧ˤ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,+,+,0,0,0,0,0,0
˦ˤ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,+,+,0,0,0,0,-,+
˥ˤ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,+,+,0,0,0,0,+,+
q,-,-,+,-,-,-,-,-,-,-,-,-,-,0,-,-,-,+,-,-,0,-,0,0
q̟,-,-,+,-,-,-,-,-,-,-,-,-,-,0,-,-,-,+,-,-,0,-,0,0
q̠,-,-,+,-,-,-,-,-,-,-,-,-,-,0,-,-,-,+,-,-,0,-,0,0
ɢ,-,-,+,-,-,-,-,-,+,-,-,-,-,0,-,-,-,+,-,-,0,-,0,0
ɢ̟,-,-,+,-,-,-,-,-,+,-,-,-,-,0,-,-,-,+,-,-,0,-,0,0
ɢ̠,-,-,+,-,-,-,-,-,+,-,-,-,-,0,-,-,-,+,-,-,0,-,0,0
qː,-,-,+,-,-,-,-,-,-,-,-,-,-,0,-,-,-,+,-,-,0,+,0,0
ɢː,-,-,+,-,-,-,-,-,+,-,-,-,-,0,-,-,-,+,-,-,0,+,0,0
ʈ,-,-,+,-,-,-,-,-,-,-,-,-,+,-,-,-,-,-,-,-,0,-,0,0
ʈ̟,-,-,+,-,-,-,-,-,-,-,-,-,+,-,-,-,-,-,-,-,0,-,0,0
ʈ̠,-,-,+,-,-,-,-,-,-,-,-,-,+,-,-,-,-,-,-,-,0,-,0,0
ʈ̺,-,-,+,-,-,-,-,-,-,-,-,-,+,-,-,-,-,-,-,-,0,-,0,0
ɖ,-,-,+,-,-,-,-,-,+,-,-,-,+,-,-,-,-,-,-,-,0,-,0,0
ɖ̟,-,-,+,-,-,-,-,-,+,-,-,-,+,-,-,-,-,-,-,-,0,-,0,0
ɖ̠,-,-,+,-,-,-,-,-,+,-,-,-,+,-,-,-,-,-,-,-,0,-,0,0
ɖ̺,-,-,+,-,-,-,-,-,+,-,-,-,+,-,-,-,-,-,-,-,0,-,0,0
