ipa,syl,son,cons,cont,delrel,lat,nas,strid,voi,sg,cg,ant,cor,distr,lab,hi,lo,back,round,velaric,tense,long,hitone,hireg
ʈː,-,-,+,-,-,-,-,-,-,-,-,-,+,-,-,-,-,-,-,-,0,+,0,0
ɖː,-,-,+,-,-,-,-,-,+,-,-,-,+,-,-,-,-,-,-,-,0,+,0,0
ʈ̻,-,-,+,-,-,-,-,-,-,-,-,-,+,+,-,-,-,-,-,-,0,-,0,0
ɖ̻,-,-,+,-,-,-,-,-,+,-,-,-,+,+,-,-,-,-,-,-,0,-,0,0
t,-,-,+,-,-,-,-,-,-,-,-,+,+,-,-,-,-,-,-,-,0,-,0,0
t̟,-,-,+,-,-,-,-,-,-,-,-,+,+,-,-,-,-,-,-,-,0,-,0,0
t̠,-,-,+,-,-,-,-,-,-,-,-,+,+,-,-,-,-,-,-,-,0,-,0,0
t̺,-,-,+,-,-,-,-,-,-,-,-,+,+,-,-,-,-,-,-,-,0,-,0,0
t̪̺,-,-,+,-,-,-,-,-,-,-,-,+,+,-,-,-,-,-,-,-,0,-,0,0
d,-,-,+,-,-,-,-,-,+,-,-,+,+,-,-,-,-,-,-,-,0,-,0,0
d̟,-,-,+,-,-,-,-,-,+,-,-,+,+,-,-,-,-,-,-,-,0,-,0,0
d̠,-,-,+,-,-,-,-,-,+,-,-,+,+,-,-,-,-,-,-,-,0,-,0,0
d̺,-,-,+,-,-,-,-,-,+,-,-,+,+,-,-,-,-,-,-,-,0,-,0,0
d̪̺,-,-,+,-,-,-,-,-,+,-,-,+,+,-,-,-,-,-,-,-,0,-,0,0
tː,-,-,+,-,-,-,-,-,-,-,-,+,+,-,-,-,-,-,-,-,0,+,0,0
dː,-,-,+,-,-,-,-,-,+,-,-,+,+,-,-,-,-,-,-,-,0,+,0,0
t̪,-,-,+,-,-,-,-,-,-,-,-,+,+,+,-,-,-,-,-,-,0,-,0,0
t̻,-,-,+,-,-,-,-,-,-,-,-,+,+,+,-,-,-,-,-,-,0,-,0,0
t̪̻,-,-,+,-,-,-,-,-,-,-,-,+,+,+,-,-,-,-,-,-,0,-,0,0
t̪̟,-,-,+,-,-,-,-,-,-,-,-,+,+,+,-,-,-,-,-,-,0,-,0,0
t̪̠,-,-,+,-,-,-,-,-,-,-,-,+,+,+,-,-,-,-,-,-,0,-,0,0
d̪,-,-,+,-,-,-,-,-,+,-,-,+,+,+,-,-,-,-,-,-,0,-,0,0
d̪̟,-,-,+,-,-,-,-,-,+,-,-,+,+,+,-,-,-,-,-,-,0,-,0,0
d̻,-,-,+,-,-,-,-,-,+,-,-,+,+,+,-,-,-,-,-,-,0,-,0,0
d̪̻,-,-,+,-,-,-,-,-,+,-,-,+,+,+,-,-,-,-,-,-,0,-,0,0
d̪̠,-,-,+,-,-,-,-,-,+,-,-,+,+,+,-,-,-,-,-,-,0,-,0,0
t̪ː,-,-,+,-,-,-,-,-,-,-,-,+,+,+,-,-,-,-,-,-,0,+,0,0
d̪ː,-,-,+,-,-,-,-,-,+,-,-,+,+,+,-,-,-,-,-,-,0,+,0,0
p,-,-,+,-,-,-,-,-,-,-,-,+,-,0,+,-,-,-,-,-,0,-,0,0
p̟,-,-,+,-,-,-,-,-,-,-,-,+,-,0,+,-,-,-,-,-,0,-,0,0
p̠,-,-,+,-,-,-,-,-,-,-,-,+,-,0,+,-,-,-,-,-,0,-,0,0
b,-,-,+,-,-,-,-,-,+,-,-,+,-,0,+,-,-,-,-,-,0,-,0,0
b̟,-,-,+,-,-,-,-,-,+,-,-,+,-,0,+,-,-,-,-,-,0,-,0,0
b̠,-,-,+,-,-,-,-,-,+,-,-,+,-,0,+,-,-,-,-,-,0,-,0,0
pː,-,-,+,-,-,-,-,-,-,-,-,+,-,0,+,-,-,-,-,-,0,+,0,0
bː,-,-,+,-,-,-,-,-,+,-,-,+,-,0,+,-,-,-,-,-,0,+,0,0
p͡t,-,-,+,-,-,-,-,-,-,-,-,+,+,-,+,-,-,-,-,-,0,-,0,0
p͡t̟,-,-,+,-,-,-,-,-,-,-,-,+,+,-,+,-,-,-,-,-,0,-,0,0
t̼,-,-,+,-,-,-,-,-,-,-,-,+,+,-,+,-,-,-,-,-,0,-,0,0
p͡t̼,-,-,+,-,-,-,-,-,-,-,-,+,+,-,+,-,-,-,-,-,0,-,0,0
p͡t̠,-,-,+,-,-,-,-,-,-,-,-,+,+,-,+,-,-,-,-,-,0,-,0,0
p͡t̺,-,-,+,-,-,-,-,-,-,-,-,+,+,-,+,-,-,-,-,-,0,-,0,0
b͡d,-,-,+,-,-,-,-,-,+,-,-,+,+,-,+,-,-,-,-,-,0,-,0,0
b͡d̟,-,-,+,-,-,-,-,-,+,-,-,+,+,-,+,-,-,-,-,-,0,-,0,0
d̼,-,-,+,-,-,-,-,-,+,-,-,+,+,-,+,-,-,-,-,-,0,-,0,0
b͡d̼,-,-,+,-,-,-,-,-,+,-,-,+,+,-,+,-,-,-,-,-,0,-,0,0
b͡d̠,-,-,+,-,-,-,-,-,+,-,-,+,+,-,+,-,-,-,-,-,0,-,0,0
b͡d̺,-,-,+,-,-,-,-,-,+,-,-,+,+,-,+,-,-,-,-,-,0,-,0,0
p͡tː,-,-,+,-,-,-,-,-,-,-,-,+,+,-,+,-,-,-,-,-,0,+,0,0
b͡dː,-,-,+,-,-,-,-,-,+,-,-,+,+,-,+,-,-,-,-,-,0,+,0,0
t̪̼,-,-,+,-,-,-,-,-,-,-,-,+,+,+,+,-,-,-,-,-,0,-,0,0
p͡t̻,-,-,+,-,-,-,-,-,-,-,-,+,+,+,+,-,-,-,-,-,0,-,0,0
d̪̼,-,-,+,-,-,-,-,-,+,-,-,+,+,+,+,-,-,-,-,-,0,-,0,0
b͡d̻,-,-,+,-,-,-,-,-,+,-,-,+,+,+,+,-,-,-,-,-,0,-,0,0
qˤ,-,-,+,-,-,-,-,-,-,-,-,-,-,0,-,-,+,+,-,-,0,-,0,0
ɢˤ,-,-,+,-,-,-,-,-,+,-,-,-,-,0,-,-,+,+,-,-,0,-,0,0
qˤː,-,-,+,-,-,-,-,-,-,-,-,-,-,0,-,-,+,+,-,-,0,+,0,0
qːˤ,-,-,+,-,-,-,-,-,-,-,-,-,-,0,-,-,+,+,-,-,0,+,0,0
ɢˤː,-,-,+,-,-,-,-,-,+,-,-,-,-,0,-,-,+,+,-,-,0,+,0,0
ɢːˤ,-,-,+,-,-,-,-,-,+,-,-,-,-,0,-,-,+,+,-,-,0,+,0,0
ʈˤ,-,-,+,-,-,-,-,-,-,-,-,-,+,-,-,-,+,-,-,-,0,-,0,0
ɖˤ,-,-,+,-,-,-,-,-,+,-,-,-,+,-,-,-,+,-,-,-,0,-,0,0
ʈˤː,-,-,+,-,-,-,-,-,-,-,-,-,+,-,-,-,+,-,-,-,0,+,0,0
ʈːˤ,-,-,+,-,-,-,-,-,-,-,-,-,+,-,-,-,+,-,-,-,0,+,0,0
ɖˤː,-,-,+,-,-,-,-,-,+,-,-,-,+,-,-,-,+,-,-,-,0,+,0,0
ɖːˤ,-,-,+,-,-,-,-,-,+,-,-,-,+,-,-,-,+,-,-,-,0,+,0,0
tˤ,-,-,+,-,-,-,-,-,-,-,-,+,+,-,-,-,+,-,-,-,0,-,0,0
dˤ,-,-,+,-,-,-,-,-,+,-,-,+,+,-,-,-,+,-,-,-,0,-,0,0
tˤː,-,-,+,-,-,-,-,-,-,-,-,+,+,-,-,-,+,-,-,-,0,+,0,0
tːˤ,-,-,+,-,-,-,-,-,-,-,-,+,+,-,-,-,+,-,-,-,0,+,0,0
dˤː,-,-,+,-,-,-,-,-,+,-,-,+,+,-,-,-,+,-,-,-,0,+,0,0
dːˤ,-,-,+,-,-,-,-,-,+,-,-,+,+,-,-,-,+,-,-,-,0,+,0,0
t̪ˤ,-,-,+,-,-,-,-,-,-,-,-,+,+,+,-,-,+,-,-,-,0,-,0,0
d̪ˤ,-,-,+,-,-,-,-,-,+,-,-,+,+,+,-,-,+,-,-,-,0,-,0,0
t̪ˤː,-,-,+,-,-,-,-,-,-,-,-,+,+,+,-,-,+,-,-,-,0,+,0,0
t̪ːˤ,-,-,+,-,-,-,-,-,-,-,-,+,+,+,-,-,+,-,-,-,0,+,0,0
d̪ˤː,-,-,+,-,-,-,-,-,+,-,-,+,+,+,-,-,+,-,-,-,0,+,0,0
d̪ːˤ,-,-,+,-,-,-,-,-,+,-,-,+,+,+,-,-,+,-,-,-,0,+,0,0
pˤ,-,-,+,-,-,-,-,-,-,-,-,+,-,0,+,-,+,-,-,-,0,-,0,0
bˤ,-,-,+,-,-,-,-,-,+,-,-,+,-,0,+,-,+,-,-,-,0,-,0,0
pˤː,-,-,+,-,-,-,-,-,-,-,-,+,-,0,+,-,+,-,-,-,0,+,0,0
pːˤ,-,-,+,-,-,-,-,-,-,-,-,+,-,0,+,-,+,-,-,-,0,+,0,0
bˤː,-,-,+,-,-,-,-,-,+,-,-,+,-,0,+,-,+,-,-,-,0,+,0,0
bːˤ,-,-,+,-,-,-,-,-,+,-,-,+,-,0,+,-,+,-,-,-,0,+,0,0
p͡tˤ,-,-,+,-,-,-,-,-,-,-,-,+,+,-,+,-,+,-,-,-,0,-,0,0
b͡dˤ,-,-,+,-,-,-,-,-,+,-,-,+,+,-,+,-,+,-,-,-,0,-,0,0
p͡tˤː,-,-,+,-,-,-,-,-,-,-,-,+,+,-,+,-,+,-,-,-,0,+,0,0
p͡tːˤ,-,-,+,-,-,-,-,-,-,-,-,+,+,-,+,-,+,-,-,-,0,+,0,0
b͡dˤː,-,-,+,-,-,-,-,-,+,-,-,+,+,-,+,-,+,-,-,-,0,+,0,0
b͡dːˤ,-,-,+,-,-,-,-,-,+,-,-,+,+,-,+,-,+,-,-,-,0,+,0,0
qʲ,-,-,+,-,-,-,-,-,-,-,-,-,-,0,-,+,-,+,-,-,0,-,0,0
c,-,-,+,-,-,-,-,-,-,-,-,-,-,0,-,+,-,-,-,-,0,-,0,0
c̟,-,-,+,-,-,-,-,-,-,-,-,-,-,0,-,+,-,-,-,-,0,-,0,0
c̠,-,-,+,-,-,-,-,-,-,-,-,-,-,0,-,+,-,-,-,-,0,-,0,0
cʲ,-,-,+,-,-,-,-,-,-,-,-,-,-,0,-,+,-,-,-,-,0,-,0,0
kʲ,-,-,+,-,-,-,-,-,-,-,-,-,-,0,-,+,-,+,-,-,0,-,0,0
ɢʲ,-,-,+,-,-,-,-,-,+,-,-,-,-,0,-,+,-,+,-,-,0,-,0,0
ɟʲ,-,-,+,-,-,-,-,-,+,-,-,-,-,0,-,+,-,-,-,-,0,-,0,0
ɟ,-,-,+,-,-,-,-,-,+,-,-,-,-,0,-,+,-,-,-,-,0,-,0,0
ɟ̟,-,-,+,-,-,-,-,-,+,-,-,-,-,0,-,+,-,-,-,-,0,-,0,0
ɟ̠,-,-,+,-,-,-,-,-,+,-,-,-,-,0,-,+,-,-,-,-,0,-,0,0
ɡʲ,-,-,+,-,-,-,-,-,+,-,-,-,-,0,-,+,-,+,-,-,0,-,0,0
cː,-,-,+,-,-,-,-,-,-,-,-,-,-,0,-,+,-,-,-,-,0,+,0,0
cːʲ,-,-,+,-,-,-,-,-,-,-,-,-,-,0,-,+,-,-,-,-,0,+,0,0
kːʲ,-,-,+,-,-,-,-,-,-,-,-,-,-,0,-,+,-,+,-,-,0,+,0,0
qːʲ,-,-,+,-,-,-,-,-,-,-,-,-,-,0,-,+,-,+,-,-,0,+,0,0
cʲː,-,-,+,-,-,-,-,-,-,-,-,-,-,0,-,+,-,-,-,-,0,+,0,0
kʲː,-,-,+,-,-,-,-,-,-,-,-,-,-,0,-,+,-,+,-,-,0,+,0,0
qʲː,-,-,+,-,-,-,-,-,-,-,-,-,-,0,-,+,-,+,-,-,0,+,0,0
ɟː,-,-,+,-,-,-,-,-,+,-,-,-,-,0,-,+,-,-,-,-,0,+,0,0
ɡːʲ,-,-,+,-,-,-,-,-,+,-,-,-,-,0,-,+,-,+,-,-,0,+,0,0
ɟːʲ,-,-,+,-,-,-,-,-,+,-,-,-,-,0,-,+,-,-,-,-,0,+,0,0
ɢːʲ,-,-,+,-,-,-,-,-,+,-,-,-,-,0,-,+,-,+,-,-,0,+,0,0
ɡʲː,-,-,+,-,-,-,-,-,+,-,-,-,-,0,-,+,-,+,-,-,0,+,0,0
ɟʲː,-,-,+,-,-,-,-,-,+,-,-,-,-,0,-,+,-,-,-,-,0,+,0,0
ɢʲː,-,-,+,-,-,-,-,-,+,-,-,-,-,0,-,+,-,+,-,-,0,+,0,0
cᶣ,-,-,+,-,-,-,-,-,-,-,-,-,-,0,-,+,-,-,+,-,0,-,0,0
kᶣ,-,-,+,-,-,-,-,-,-,-,-,-,-,0,-,+,-,+,+,-,0,-,0,0
qᶣ,-,-,+,-,-,-,-,-,-,-,-,-,-,0,-,+,-,+,+,-,0,-,0,0
ɡᶣ,-,-,+,-,-,-,-,-,+,-,-,-,-,0,-,+,-,+,+,-,0,-,0,0
ɟᶣ,-,-,+,-,-,-,-,-,+,-,-,-,-,0,-,+,-,-,+,-,0,-,0,0
ɢᶣ,-,-,+,-,-,-,-,-,+,-,-,-,-,0,-,+,-,+,+,-,0,-,0,0
cˠ,-,-,+,-,-,-,-,-,-,-,-,-,-,0,-,+,-,-,-,-,0,-,0,0
qˠ,-,-,+,-,-,-,-,-,-,-,-,-,-,0,-,+,-,+,-,-,0,-,0,0
k,-,-,+,-,-,-,-,-,-,-,-,-,-,0,-,+,-,+,-,-,0,-,0,0
k̟,-,-,+,-,-,-,-,-,-,-,-,-,-,0,-,+,-,+,-,-,0,-,0,0
k̠,-,-,+,-,-,-,-,-,-,-,-,-,-,0,-,+,-,+,-,-,0,-,0,0
ɟˠ,-,-,+,-,-,-,-,-,+,-,-,-,-,0,-,+,-,-,-,-,0,-,0,0
ɢˠ,-,-,+,-,-,-,-,-,+,-,-,-,-,0,-,+,-,+,-,-,0,-,0,0
ɡ,-,-,+,-,-,-,-,-,+,-,-,-,-,0,-,+,-,+,-,-,0,-,0,0
ɡ̟,-,-,+,-,-,-,-,-,+,-,-,-,-,0,-,+,-,+,-,-,0,-,0,0
ɡ̠,-,-,+,-,-,-,-,-,+,-,-,-,-,0,-,+,-,+,-,-,0,-,0,0
kː,-,-,+,-,-,-,-,-,-,-,-,-,-,0,-,+,-,+,-,-,0,+,0,0
cːˠ,-,-,+,-,-,-,-,-,-,-,-,-,-,0,-,+,-,-,-,-,0,+,0,0
kːˠ,-,-,+,-,-,-,-,-,-,-,-,-,-,0,-,+,-,+,-,-,0,+,0,0
qːˠ,-,-,+,-,-,-,-,-,-,-,-,-,-,0,-,+,-,+,-,-,0,+,0,0
ɡː,-,-,+,-,-,-,-,-,+,-,-,-,-,0,-,+,-,+,-,-,0,+,0,0
ɡːˠ,-,-,+,-,-,-,-,-,+,-,-,-,-,0,-,+,-,+,-,-,0,+,0,0
ɟːˠ,-,-,+,-,-,-,-,-,+,-,-,-,-,0,-,+,-,-,-,-,0,+,0,0
ɢːˠ,-,-,+,-,-,-,-,-,+,-,-,-,-,0,-,+,-,+,-,-,0,+,0,0
cʷˠ,-,-,+,-,-,-,-,-,-,-,-,-,-,0,-,+,-,-,+,-,0,-,0,0
kʷˠ,-,-,+,-,-,-,-,-,-,-,-,-,-,0,-,+,-,+,+,-,0,-,0,0
qʷˠ,-,-,+,-,-,-,-,-,-,-,-,-,-,0,-,+,-,+,+,-,0,-,0,0
kʷ,-,-,+,-,-,-,-,-,-,-,-,-,-,0,-,+,-,+,+,-,0,-,0,0
cʷ,-,-,+,-,-,-,-,-,-,-,-,-,-,0,-,+,-,-,+,-,0,-,0,0
qʷ,-,-,+,-,-,-,-,-,-,-,-,-,-,0,-,+,-,+,+,-,0,-,0,0
cʲʷ,-,-,+,-,-,-,-,-,-,-,-,-,-,0,-,+,-,-,+,-,0,-,0,0
kʲʷ,-,-,+,-,-,-,-,-,-,-,-,-,-,0,-,+,-,+,+,-,0,-,0,0
qʲʷ,-,-,+,-,-,-,-,-,-,-,-,-,-,0,-,+,-,+,+,-,0,-,0,0
ɡʷˠ,-,-,+,-,-,-,-,-,+,-,-,-,-,0,-,+,-,+,+,-,0,-,0,0
ɟʷˠ,-,-,+,-,-,-,-,-,+,-,-,-,-,0,-,+,-,-,+,-,0,-,0,0
ɢʷˠ,-,-,+,-,-,-,-,-,+,-,-,-,-,0,-,+,-,+,+,-,0,-,0,0
ɡʷ,-,-,+,-,-,-,-,-,+,-,-,-,-,0,-,+,-,+,+,-,0,-,0,0
ɟʷ,-,-,+,-,-,-,-,-,+,-,-,-,-,0,-,+,-,-,+,-,0,-,0,0
ɢʷ,-,-,+,-,-,-,-,-,+,-,-,-,-,0,-,+,-,+,+,-,0,-,0,0
ɟʲʷ,-,-,+,-,-,-,-,-,+,-,-,-,-,0,-,+,-,-,+,-,0,-,0,0
ɡʲʷ,-,-,+,-,-,-,-,-,+,-,-,-,-,0,-,+,-,+,+,-,0,-,0,0
ɢʲʷ,-,-,+,-,-,-,-,-,+,-,-,-,-,0,-,+,-,+,+,-,0,-,0,0
cʷː,-,-,+,-,-,-,-,-,-,-,-,-,-,0,-,+,-,-,+,-,0,+,0,0
kʷː,-,-,+,-,-,-,-,-,-,-,-,-,-,0,-,+,-,+,+,-,0,+,0,0
qʷː,-,-,+,-,-,-,-,-,-,-,-,-,-,0,-,+,-,+,+,-,0,+,0,0
cːʷ,-,-,+,-,-,-,-,-,-,-,-,-,-,0,-,+,-,-,+,-,0,+,0,0
kːʷ,-,-,+,-,-,-,-,-,-,-,-,-,-,0,-,+,-,+,+,-,0,+,0,0
qːʷ,-,-,+,-,-,-,-,-,-,-,-,-,-,0,-,+,-,+,+,-,0,+,0,0
ɡʷː,-,-,+,-,-,-,-,-,+,-,-,-,-,0,-,+,-,+,+,-,0,+,0,0
ɟʷː,-,-,+,-,-,-,-,-,+,-,-,-,-,0,-,+,-,-,+,-,0,+,0,0
ɢʷː,-,-,+,-,-,-,-,-,+,-,-,-,-,0,-,+,-,+,+,-,0,+,0,0
ɡːʷ,-,-,+,-,-,-,-,-,+,-,-,-,-,0,-,+,-,+,+,-,0,+,0,0
ɟːʷ,-,-,+,-,-,-,-,-,+,-,-,-,-,0,-,+,-,-,+,-,0,+,0,0
ɢːʷ,-,-,+,-,-,-,-,-,+,-,-,-,-,0,-,+,-,+,+,-,0,+,0,0
ǂ̺,-,-,+,-,-,-,-,-,-,-,-,-,+,-,-,+,-,-,-,+,0,-,0,0
ʈʲ,-,-,+,-,-,-,-,-,-,-,-,-,+,-,-,+,-,-,-,-,0,-,0,0
ɖʲ,-,-,+,-,-,-,-,-,+,-,-,-,+,-,-,+,-,-,-,-,0,-,0,0
ʈːʲ,-,-,+,-,-,-,-,-,-,-,-,-,+,-,-,+,-,-,-,-,0,+,0,0
ʈʲː,-,-,+,-,-,-,-,-,-,-,-,-,+,-,-,+,-,-,-,-,0,+,0,0
ɖːʲ,-,-,+,-,-,-,-,-,+,-,-,-,+,-,-,+,-,-,-,-,0,+,0,0
ɖʲː,-,-,+,-,-,-,-,-,+,-,-,-,+,-,-,+,-,-,-,-,0,+,0,0
ʈᶣ,-,-,+,-,-,-,-,-,-,-,-,-,+,-,-,+,-,-,+,-,0,-,0,0
ɖᶣ,-,-,+,-,-,-,-,-,+,-,-,-,+,-,-,+,-,-,+,-,0,-,0,0
ʈˠ,-,-,+,-,-,-,-,-,-,-,-,-,+,-,-,+,-,-,-,-,0,-,0,0
ɖˠ,-,-,+,-,-,-,-,-,+,-,-,-,+,-,-,+,-,-,-,-,0,-,0,0
ʈːˠ,-,-,+,-,-,-,-,-,-,-,-,-,+,-,-,+,-,-,-,-,0,+,0,0
ɖːˠ,-,-,+,-,-,-,-,-,+,-,-,-,+,-,-,+,-,-,-,-,0,+,0,0
ʈʷˠ,-,-,+,-,-,-,-,-,-,-,-,-,+,-,-,+,-,-,+,-,0,-,0,0
ʈʷ,-,-,+,-,-,-,-,-,-,-,-,-,+,-,-,+,-,-,+,-,0,-,0,0
ʈʲʷ,-,-,+,-,-,-,-,-,-,-,-,-,+,-,-,+,-,-,+,-,0,-,0,0
ɖʷˠ,-,-,+,-,-,-,-,-,+,-,-,-,+,-,-,+,-,-,+,-,0,-,0,0
ɖʷ,-,-,+,-,-,-,-,-,+,-,-,-,+,-,-,+,-,-,+,-,0,-,0,0
ɖʲʷ,-,-,+,-,-,-,-,-,+,-,-,-,+,-,-,+,-,-,+,-,0,-,0,0
ʈʷː,-,-,+,-,-,-,-,-,-,-,-,-,+,-,-,+,-,-,+,-,0,+,0,0
ʈːʷ,-,-,+,-,-,-,-,-,-,-,-,-,+,-,-,+,-,-,+,-,0,+,0,0
ɖʷː,-,-,+,-,-,-,-,-,+,-,-,-,+,-,-,+,-,-,+,-,0,+,0,0
ɖːʷ,-,-,+,-,-,-,-,-,+,-,-,-,+,-,-,+,-,-,+,-,0,+,0,0
ǂ,-,-,+,-,-,-,-,-,-,-,-,-,+,+,-,+,-,-,-,+,0,-,0,0
ǂ̟,-,-,+,-,-,-,-,-,-,-,-,-,+,+,-,+,-,-,-,+,0,-,0,0
ǂ̻,-,-,+,-,-,-,-,-,-,-,-,-,+,+,-,+,-,-,-,+,0,-,0,0
ǂ̠,-,-,+,-,-,-,-,-,-,-,-,-,+,+,-,+,-,-,-,+,0,-,0,0
ǂː,-,-,+,-,-,-,-,-,-,-,-,-,+,+,-,+,-,-,-,+,0,+,0,0
ǂʲ,-,-,+,-,-,-,-,-,-,-,-,-,+,+,-,+,-,-,-,+,0,-,0,0
ǂːʲ,-,-,+,-,-,-,-,-,-,-,-,-,+,+,-,+,-,-,-,+,0,+,0,0
ǂʲː,-,-,+,-,-,-,-,-,-,-,-,-,+,+,-,+,-,-,-,+,0,+,0,0
ǂᶣ,-,-,+,-,-,-,-,-,-,-,-,-,+,+,-,+,-,-,+,+,0,-,0,0
ǂˠ,-,-,+,-,-,-,-,-,-,-,-,-,+,+,-,+,-,-,-,+,0,-,0,0
ǂːˠ,-,-,+,-,-,-,-,-,-,-,-,-,+,+,-,+,-,-,-,+,0,+,0,0
ǂʷˠ,-,-,+,-,-,-,-,-,-,-,-,-,+,+,-,+,-,-,+,+,0,-,0,0
ǂʷ,-,-,+,-,-,-,-,-,-,-,-,-,+,+,-,+,-,-,+,+,0,-,0,0
ǂʲʷ,-,-,+,-,-,-,-,-,-,-,-,-,+,+,-,+,-,-,+,+,0,-,0,0
ǂʷː,-,-,+,-,-,-,-,-,-,-,-,-,+,+,-,+,-,-,+,+,0,+,0,0
ǂːʷ,-,-,+,-,-,-,-,-,-,-,-,-,+,+,-,+,-,-,+,+,0,+,0,0
ǃ,-,-,+,-,-,-,-,-,-,-,-,+,+,-,-,+,-,-,-,+,0,-,0,0
ǃ̟,-,-,+,-,-,-,-,-,-,-,-,+,+,-,-,+,-,-,-,+,0,-,0,0
ǃ̠,-,-,+,-,-,-,-,-,-,-,-,+,+,-,-,+,-,-,-,+,0,-,0,0
ǃ̺,-,-,+,-,-,-,-,-,-,-,-,+,+,-,-,+,-,-,-,+,0,-,0,0
ǀ̺,-,-,+,-,-,-,-,-,-,-,-,+,+,-,-,+,-,-,-,+,0,-,0,0
ǃː,-,-,+,-,-,-,-,-,-,-,-,+,+,-,-,+,-,-,-,+,0,+,0,0
tʲ,-,-,+,-,-,-,-,-,-,-,-,+,+,-,-,+,-,-,-,-,0,-,0,0
ǃʲ,-,-,+,-,-,-,-,-,-,-,-,+,+,-,-,+,-,-,-,+,0,-,0,0
dʲ,-,-,+,-,-,-,-,-,+,-,-,+,+,-,-,+,-,-,-,-,0,-,0,0
ǃːʲ,-,-,+,-,-,-,-,-,-,-,-,+,+,-,-,+,-,-,-,+,0,+,0,0
tːʲ,-,-,+,-,-,-,-,-,-,-,-,+,+,-,-,+,-,-,-,-,0,+,0,0
ǃʲː,-,-,+,-,-,-,-,-,-,-,-,+,+,-,-,+,-,-,-,+,0,+,0,0
tʲː,-,-,+,-,-,-,-,-,-,-,-,+,+,-,-,+,-,-,-,-,0,+,0,0
dːʲ,-,-,+,-,-,-,-,-,+,-,-,+,+,-,-,+,-,-,-,-,0,+,0,0
dʲː,-,-,+,-,-,-,-,-,+,-,-,+,+,-,-,+,-,-,-,-,0,+,0,0
ǃᶣ,-,-,+,-,-,-,-,-,-,-,-,+,+,-,-,+,-,-,+,+,0,-,0,0
tᶣ,-,-,+,-,-,-,-,-,-,-,-,+,+,-,-,+,-,-,+,-,0,-,0,0
dᶣ,-,-,+,-,-,-,-,-,+,-,-,+,+,-,-,+,-,-,+,-,0,-,0,0
ǃˠ,-,-,+,-,-,-,-,-,-,-,-,+,+,-,-,+,-,-,-,+,0,-,0,0
tˠ,-,-,+,-,-,-,-,-,-,-,-,+,+,-,-,+,-,-,-,-,0,-,0,0
