position	strength.w=>-p	strength.s=>-u	footmin-no-s	stress.w=>-p	stress.s=>-u
pos0	0	0	0	0	0
pos1	0	0	0	0	0
pos2	0	0	0	0	0
pos3	0	0	0	0	0
pos4	0	0	0	0	1
pos5	0	0	0	0	0
pos6	0	0	1	0	0
pos7	0	0	0	0	0
pos8	0	0	0	0	0
