position	strength.s=>-u	stress.w=>-p	strength.w=>-p	stress.s=>-u	footmin-no-s
pos0	0	0	0	0	0
pos1	0	0	0	0	0
pos2	0	0	0	0	1
pos3	0	0	0	0	0
pos4	0	0	0	0	0
pos5	0	0	0	0	0
pos6	0	0	0	0	0
pos7	0	0	0	0	0
pos8	0	0	0	0	0
