line                                    	meter	[*footmin-no-s]	[*strength.s=>-u]	[*strength.w=>-p]	[*stress.s=>-u]	[*stress.w=>-p]
never came butterflies from such a place	swsswswsws	0	0	0	0	1
                                        	swwswswsws	0	1	0	0	0
                                        	swsswswsww	0	0	0	0	1
                                        	swwswswsww	0	1	0	0	0
                                        	swsswswwsw	0	0	0	0	1
                                        	swwswswwsw	0	1	0	0	0
