text_position	strength.s=>-u	strength.w=>-p	stress.s=>-u	stress.w=>-p
directinput_pos0	0.0	0.0	0.0	0.0
directinput_pos1	0.0	0.0	0.0	0.0
directinput_pos2	0.0	0.0	0.0	1.0
