text_position	strength.w=>-p	strength.s=>-u	footmin-no-s	stress.w=>-p	stress.s=>-u
directinput_pos0	0	0	0	0	0
directinput_pos1	0	0	0	0	0
directinput_pos2	0	0	0	0	0
directinput_pos3	0	0	0	0	0
directinput_pos4	0	0	0	0	1
directinput_pos5	0	0	0	0	0
directinput_pos6	0	0	1	0	0
directinput_pos7	0	0	0	0	0
directinput_pos8	0	0	0	0	0
