text_position	strength.s=>-u	strength.w=>-p	stress.s=>-u	stress.w=>-p
en.yeats.early_pos0	0.0	0.00729927007299	0.029197080292	0.043795620438
en.yeats.early_pos1	0.0	0.010989010989	0.0	0.0952380952381
en.yeats.early_pos2	0.0	0.0	0.00367647058824	0.0625
en.yeats.early_pos3	0.0	0.0	0.0375939849624	0.0488721804511
en.yeats.early_pos4	0.0	0.00387596899225	0.0232558139535	0.0387596899225
en.yeats.early_pos5	0.0	0.00806451612903	0.0362903225806	0.0403225806452
en.yeats.early_pos6	0.0	0.00510204081633	0.015306122449	0.0459183673469
en.yeats.early_pos7	0.0	0.0	0.0387596899225	0.0232558139535
en.yeats.early_pos8	0.0	0.0	0.0	0.0921052631579
en.yeats.early_pos9	0.0	0.0	0.0208333333333	0.0
en.yeats.early_pos10	0.0	0.0	0.0	0.1
en.yeats.early_pos11	0.0	0.0	0.0	0.0
