text_position	strength.s=>-u	strength.w=>-p	footmin-no-s	stress.w=>-p	stress.s=>-u
en.poison_pos0	0.0	0.0	0.0	0.0	0.0
en.poison_pos1	0.0	0.0	0.0	0.0	0.0
en.poison_pos2	0.0	0.0	1.0	0.0	0.0
en.poison_pos3	0.0	0.0	0.0	0.0	0.0
en.poison_pos4	0.0	0.0	0.0	0.0	0.0
en.poison_pos5	0.0	0.0	0.0	0.0	0.0
en.poison_pos6	0.0	0.0	0.0	0.0	0.0
en.poison_pos7	0.0	0.0	0.0	0.0	0.0
en.poison_pos8	0.0	0.0	0.0	0.0	0.0
en.theoryofnovel_pos0	0.0	0.0	0.0	0.0	0.0
en.theoryofnovel_pos1	0.0	0.0	0.0	0.0	0.0
en.theoryofnovel_pos2	0.0	0.0	0.0	0.0	0.0
en.theoryofnovel_pos3	0.0	0.0	0.428571428571	0.0	0.0
en.theoryofnovel_pos4	0.0	0.0	0.0	0.0	0.0
en.theoryofnovel_pos5	0.0	0.0	0.0	0.0	0.0
en.theoryofnovel_pos6	0.0	0.0	0.0	0.0	0.0
en.poison2_pos0	0.0	0.0	0.0	0.0	0.0
en.poison2_pos1	0.0	0.0	0.0	0.0	0.0
en.poison2_pos2	0.0	0.0	0.0	0.0	1.0
en.poison2_pos3	0.0	0.0	0.0	0.0	0.0
en.poison2_pos4	0.0	0.0	0.0	0.0	0.0
en.poison2_pos5	0.0	0.0	0.0	0.0	0.0
en.poison2_pos6	0.0	0.0	0.0	0.0	0.0
en.poison2_pos7	0.0	0.0	0.0	0.0	0.0
en.poison2_pos8	0.0	0.0	0.0	0.0	0.0
