line                                    	meter	[*footmin-no-s]	[*strength.s=>-u]	[*strength.w=>-p]	[*stress.s=>-u]	[*stress.w=>-p]
never came poison from so sweet a place 	swsswswsws	0	0	1	0	0
                                        	swwswswsws	0	0	0	1	0
                                        	swsswswsww	0	0	1	0	0
                                        	swwswswsww	0	0	0	1	0
