posnum	numobs	x_mean	y_mean	x_std	y_std
1	274	1.0	1.0	0.0	0.0
2	273	1.0	1.0	0.0	0.0
3	272	1.0	1.0	0.0	0.0
4	266	1.0	1.0	0.0	0.0
5	258	1.0	1.0	0.0	0.0
6	248	1.0	1.0	0.0	0.0
7	196	1.0	1.0	0.0	0.0
8	129	1.0	1.0	0.0	0.0
9	76	1.0	1.0	0.0	0.0
10	48	1.0	1.0	0.0	0.0
11	10	1.0	1.0	0.0	0.0
12	3	1.0	1.0	0.0	0.0
