line                                    	meter	[*footmin-no-s-unless-preceded-by-ww]	[*footmin-none]	[*posthoc-no-final-ww]	[*posthoc-standardize-weakpos]	[*strength.s=>-u]	[*strength.w=>-p]	[*stress.s=>-u]	[*stress.w=>-p]
the woods of arcady are dead            	wswswsws	0	2.0	0	0	0	0	0.0	0
and over is their antique joy           	wswswwss	0	2.0	0	2.0	0	0	1.0	0
                                        	wswswwsw	0	2.0	2.0	1.0	0	0	1.0	0
                                        	wswwswsw	0	2.0	2.0	1.0	0	0	1.0	0
                                        	wswswsws	3.0	4.0	2.0	0	0	0	0.0	3.0
                                        	wswswssw	0	4.0	2.0	1.0	10.0	0	0.0	3.0
of old the world on dreaming fed        	wswswsws	0	0	0	0	0	0	0.0	0
grey truth is now her painted toy       	wswswsws	0	0	2.0	0	0	0	0.0	0
                                        	sswswsws	0	0	0	1.0	10.0	0	0.0	0
yet still she turns her restless head   	wswswsws	0	0	0	0	0	0	0.0	0
but o sick children of the world        	wwsswsws	0	2.0	0	2.0	0	0	1.0	0
                                        	wswswsws	0	4.0	2.0	0	0	0	0.0	0
                                        	wwsswwss	0	2.0	0	4.0	0	0	0.0	0
                                        	swsswsws	0	4.0	0	1.0	10.0	0	0.0	0
of all the many changing things         	wswswsws	0	0	0	0	0	0	0.0	0
in dreary dancing past us whirled       	wswswsws	0	0	0	0	0	0	0.0	0
to the cracked tune that chronos sings  	wwsswsws	0	0	0	2.0	0	0	1.0	0
                                        	wswswsws	0	2.0	2.0	0	0	0	0.0	0
                                        	wwswwsww	0	0	4.0	3.0	0	1.0	0.0	0
                                        	swsswsws	0	2.0	0	1.0	10.0	0	0.0	0
                                        	wwsswwss	3.0	2.0	2.0	4.0	0	0	0.0	3.0
words alone are certain good            	swswsws	0	0	0	0	0	0	0.0	0
where are now the warring kings         	swswsws	0	0	0	0	0	0	0.0	0
word be mockers by the rood             	swswsws	0	2.0	0	0	0	0	0.0	0
where are now the warring kings         	swswsws	0	0	0	0	0	0	0.0	0
an idle word is now their glory         	wswswswsw	0	0	0	0	0	0	0.0	0
by the stammering schoolboy said        	wwswwssw	0	0	2.0	3.0	0	0	1.0	0
                                        	swswwssw	0	2.0	2.0	2.0	0	0	1.0	0
                                        	wwswwsws	3.0	0	2.0	2.0	0	0	1.0	0
                                        	swswwsws	3.0	2.0	2.0	1.0	0	0	1.0	0
                                        	wwswwsww	3.0	0	2.0	3.0	0	1.0	0.0	0
                                        	swswswsw	3.0	4.0	4.0	0	0	0	0.0	0
                                        	wwswswsw	3.0	2.0	4.0	1.0	0	0	1.0	0
                                        	swswswss	3.0	4.0	2.0	1.0	10.0	0	0.0	0
reading some entangled story            	swswswsw	0	0	0	0	0	0	0.0	0
the kings of the old time are dead      	wswwssws	0	0	0	2.0	0	0	1.0	0
                                        	wswswsws	0	2.0	2.0	0	0	0	0.0	0
the wandering earth herself may be      	wswwswsws	0	0	0	1.0	0	0	1.0	0
                                        	swswswsws	3.0	4.0	2.0	0	0	0	0.0	3.0
only a sudden flaming word              	swwswsws	0	0	0	1.0	0	0	1.0	0
                                        	wswswsws	3.0	2.0	2.0	0	0	0	0.0	3.0
                                        	swwswwss	3.0	2.0	2.0	3.0	0	0	0.0	3.0
                                        	swwsswws	3.0	2.0	2.0	3.0	0	0	0.0	3.0
in clanging space a moment heard        	wswswsws	0	0	0	0	0	0	0.0	0
troubling the endless reverie           	swwswsws	0	2.0	0	1.0	0	0	1.0	0
                                        	swwswsww	0	0	0	2.0	0	1.0	1.0	0
                                        	wswswsws	3.0	4.0	2.0	0	0	0	0.0	3.0
                                        	swwswwss	3.0	2.0	2.0	3.0	0	0	0.0	3.0
                                        	wswswsww	3.0	2.0	2.0	1.0	0	1.0	1.0	3.0
then nowise worship dusty deeds         	wswswsws	0	0	0	0	0	0	0.0	0
nor seek for this is also sooth         	wswswsws	0	2.0	0	0	0	0	0.0	0
to hunger fiercely after truth          	wswswsws	0	0	0	0	0	0	0.0	0
lest all thy toiling only breeds        	wswswsws	0	0	0	0	0	0	0.0	0
new dreams new dreams there is no truth 	swwswwss	0	0	2.0	3.0	0	0	0.0	0
                                        	swwswwsw	0	0	4.0	2.0	0	0	1.0	0
                                        	wswswwss	0	0	4.0	2.0	0	0	1.0	0
                                        	swswswsw	0	2.0	6.0	0	0	0	0.0	0
                                        	swwswsws	0	2.0	4.0	1.0	0	0	1.0	0
                                        	wswswsws	0	2.0	6.0	0	0	0	0.0	0
                                        	wswswwsw	0	0	6.0	1.0	0	0	1.0	0
                                        	swswswss	0	2.0	4.0	1.0	10.0	0	0.0	0
saving in thine own heart seek then     	swswswsw	0	0	2.0	0	0	0	0.0	0
                                        	swswwssw	0	0	0	2.0	0	0	1.0	0
no learning from the starry men         	wswswsws	0	2.0	2.0	0	0	0	0.0	0
                                        	sswswsws	0	2.0	0	1.0	10.0	0	0.0	0
who follow with the optic glass         	wswswsws	0	2.0	0	0	0	0	0.0	0
the whirling ways of stars that pass    	wswswsws	0	0	0	0	0	0	0.0	0
seek then for this is also sooth        	wswswsws	0	2.0	2.0	0	0	0	0.0	0
                                        	swswwsws	0	2.0	0	1.0	0	0	1.0	0
                                        	swwswsws	0	2.0	0	1.0	0	0	1.0	0
                                        	sswswsws	0	2.0	0	1.0	10.0	0	0.0	0
no word of theirs the cold star bane    	wswswsws	0	2.0	4.0	0	0	0	0.0	0
                                        	sswswsws	0	2.0	2.0	1.0	10.0	0	0.0	0
has cloven and rent their hearts in twain	wswwswsws	0	0	0	1.0	0	0	1.0	0
                                        	swswswsws	3.0	2.0	2.0	0	0	0	0.0	3.0
                                        	wswswswsw	0	4.0	6.0	0	0	0	0.0	0
                                        	sswwswwss	0	0	2.0	4.0	10.0	0	0.0	0
                                        	wswswswss	0	4.0	4.0	1.0	10.0	0	0.0	0
and dead is all their human truth       	wswswsws	0	0	0	0	0	0	0.0	0
go gather by the humming sea            	wswswsws	0	2.0	2.0	0	0	0	0.0	0
                                        	sswswsws	0	2.0	0	1.0	10.0	0	0.0	0
some twisted echo harbouring shell      	wswswswws	0	0	0	1.0	0	0	1.0	0
                                        	wswswswsw	0	2.0	2.0	0	0	0	0.0	0
                                        	wswswswss	0	2.0	0	1.0	10.0	0	0.0	0
and to its lips thy story tell          	wswswsws	0	2.0	0	0	0	0	0.0	0
and they thy comforters will be         	wswswsws	0	4.0	0	0	0	0	0.0	0
rewording in melodious guile            	wswswswws	0	0	0	1.0	0	0	1.0	0
                                        	wswswswsw	0	2.0	2.0	0	0	0	0.0	0
                                        	wswswswss	0	2.0	0	1.0	10.0	0	0.0	0
thy fretful words a little while        	wswswsws	0	0	0	0	0	0	0.0	0
till they shall singing fade in ruth    	wswswsws	0	2.0	0	0	0	0	0.0	0
                                        	wwsswsws	0	0	0	2.0	0	0	1.0	0
                                        	wwsswwss	0	0	2.0	4.0	0	0	0.0	0
and die a pearly brotherhood            	wswswsws	0	0	0	0	0	0	0.0	0
for words alone are certain good        	wswswsws	0	0	0	0	0	0	0.0	0
sing then for this is also sooth        	wswswsws	0	2.0	2.0	0	0	0	0.0	0
                                        	swswwsws	0	2.0	0	1.0	0	0	1.0	0
                                        	swwswsws	0	2.0	0	1.0	0	0	1.0	0
                                        	sswswsws	0	2.0	0	1.0	10.0	0	0.0	0
i must be gone there is a grave         	wswswsws	0	2.0	0	0	0	0	0.0	0
where daffodil and lily wave            	wswswsws	0	0	0	0	0	0	0.0	0
and i would please the hapless faun     	wswswsws	0	2.0	0	0	0	0	0.0	0
                                        	wwsswsws	0	0	0	2.0	0	0	1.0	0
buried under the sleepy ground          	swswwsws	0	0	0	1.0	0	0	1.0	0
                                        	swswswsw	3.0	4.0	4.0	0	0	0	0.0	3.0
                                        	swswswss	3.0	4.0	2.0	1.0	10.0	0	0.0	3.0
with mirthful songs before the dawn     	wswswsws	0	0	0	0	0	0	0.0	0
his shouting days with mirth were crowned	wswswsws	0	0	0	0	0	0	0.0	0
and still i dream he treads the lawn    	wswswsws	0	0	0	0	0	0	0.0	0
walking ghostly in the dew              	swswsws	0	0	0	0	0	0	0.0	0
pierced by my glad singing through      	swswwsws	0	4.0	2.0	1.0	0	0	1.0	0
                                        	swswwsww	0	2.0	2.0	2.0	0	1.0	1.0	0
                                        	swwswsws	0	4.0	2.0	1.0	0	0	1.0	0
                                        	swwswsww	0	2.0	2.0	2.0	0	1.0	1.0	0
                                        	swswswsw	3.0	4.0	2.0	0	0	0	0.0	3.0
                                        	swswssws	0	4.0	0	1.0	10.0	0	0.0	0
                                        	swswssww	0	2.0	0	2.0	10.0	1.0	1.0	0
my songs of old earth's dreamy youth    	wswswsws	0	0	2.0	0	0	0	0.0	0
but ah she dreams not now dream thou    	wswswwsw	0	0	2.0	1.0	0	0	1.0	0
                                        	wswswsws	0	2.0	2.0	0	0	0	0.0	0
                                        	wswswwsw	0	0	2.0	1.0	0	0	1.0	0
                                        	wswswssw	0	0	0	1.0	10.0	0	0.0	0
for fair are poppies on the brow        	wswswsws	0	2.0	0	0	0	0	0.0	0
dream dream for this is also sooth      	wswswsws	0	2.0	2.0	0	0	0	0.0	0
                                        	sswswsws	0	2.0	0	1.0	10.0	0	0.0	0
where dips the rocky highland           	wswswsw	0	0	0	0	0	0	0.0	0
of sleuth wood in the lake              	wswsws	0	0	2.0	0	0	0	0.0	0
                                        	wsswws	0	0	0	2.0	10.0	0	1.0	0
                                        	wsswss	0	2.0	0	2.0	20.0	0	0.0	0
there lies a leafy island               	wswswsw	0	0	0	0	0	0	0.0	0
where flapping herons wake              	wswsws	0	0	0	0	0	0	0.0	0
the drowsy water rats                   	wswsws	0	0	0	0	0	0	0.0	0
there we've hid our faery vats          	swswsws	0	2.0	0	0	0	0	0.0	0
                                        	wwswsws	0	0	0	1.0	0	0	1.0	0
                                        	wwsswws	3.0	2.0	2.0	3.0	0	0	0.0	0
full of berries                         	swsw	0	0	0	0	0	0	0.0	0
and of reddest stolen cherries          	swswswsw	0	2.0	0	0	0	0	0.0	0
                                        	wwswswsw	0	0	0	1.0	0	0	1.0	0
                                        	wwswwsww	6.0	2.0	4.0	3.0	0	1.0	0.0	3.0
i{come away o human child               	wswswsws	0	0	2.0	0	0	0	0.0	0
                                        	sswswsws	0	0	0	1.0	10.0	0	0.0	0
to the waters and the wild              	swswsws	0	4.0	0	0	0	0	0.0	0
                                        	wwswsws	0	2.0	0	1.0	0	0	1.0	0
                                        	wwswwss	0	2.0	0	3.0	0	0	0.0	0
with a faery hand in hand               	swswsws	0	2.0	0	0	0	0	0.0	0
                                        	wwswsws	0	0	0	1.0	0	0	1.0	0
                                        	wwswwss	0	0	2.0	3.0	0	0	0.0	0
for the world's more full of weeping than you can	swswswswsws	0	6.0	0	0	0	0	0.0	0
                                        	swswswswwsw	0	4.0	0	1.0	0	0	1.0	0
                                        	wwswswswsws	0	4.0	0	1.0	0	0	1.0	0
                                        	wwswswswwsw	0	2.0	0	2.0	0	0	2.0	0
                                        	swswswswssw	0	4.0	0	1.0	10.0	0	0.0	0
                                        	wwswswswssw	0	2.0	0	2.0	10.0	0	1.0	0
understand                              	sws	0	0	0	0	0	0	0	0
where the wave of moonlight glosses     	swswswsw	3.0	0	2.0	0	0	0	0.0	0
the dim grey sands with light           	wswsws	0	0	2.0	0	0	0	0.0	0
far off by furthest rosses              	swwswsw	0	0	0	1.0	0	0	1.0	0
                                        	wswswsw	0	2.0	2.0	0	0	0	0.0	0
                                        	swwswws	3.0	2.0	2.0	2.0	0	0	0.0	3.0
we foot it all the night                	wswsws	0	0	0	0	0	0	0.0	0
weaving olden dances                    	swswsw	0	0	0	0	0	0	0.0	0
mingling hands and mingling glances     	swwswswwsw	0	0	0	2.0	0	0	2.0	0
                                        	swwswswwss	0	2.0	0	3.0	0	0	1.0	3.0
                                        	wswswswwsw	3.0	2.0	2.0	1.0	0	0	1.0	3.0
                                        	swwswswsws	3.0	4.0	2.0	1.0	0	0	1.0	3.0
                                        	swwswswssw	0	2.0	0	2.0	10.0	0	1.0	0
                                        	swswswswsw	3.0	6.0	4.0	0	0	0	0.0	3.0
                                        	swwswwswws	6.0	4.0	4.0	3.0	0	0	0.0	6.0
                                        	wswswswssw	3.0	4.0	2.0	1.0	10.0	0	0.0	3.0
till the moon has taken flight          	swswsws	0	2.0	0	0	0	0	0.0	0
                                        	wwswsws	0	0	0	1.0	0	0	1.0	0
                                        	wwsswws	3.0	0	2.0	3.0	0	0	0.0	0
to and fro we leap                      	swsws	0	2.0	0	0	0	0	0.0	0
                                        	wwsws	0	0	0	1.0	0	0	1.0	0
                                        	wwsww	0	0	2.0	2.0	0	1.0	0.0	0
and chase the frothy bubbles            	wswswsw	0	0	0	0	0	0	0.0	0
while the world is full of troubles     	swswswsw	0	0	0	0	0	0	0.0	0
and is anxious in its sleep             	swswsws	0	2.0	0	0	0	0	0.0	0
                                        	wwswsws	0	0	0	1.0	0	0	1.0	0
                                        	wwswwss	0	2.0	2.0	3.0	0	0	0.0	0
i{come away o human child               	wswswsws	0	0	2.0	0	0	0	0.0	0
                                        	sswswsws	0	0	0	1.0	10.0	0	0.0	0
to the waters and the wild              	swswsws	0	4.0	0	0	0	0	0.0	0
                                        	wwswsws	0	2.0	0	1.0	0	0	1.0	0
                                        	wwswwss	0	2.0	0	3.0	0	0	0.0	0
with a faery hand in hand               	swswsws	0	2.0	0	0	0	0	0.0	0
                                        	wwswsws	0	0	0	1.0	0	0	1.0	0
                                        	wwswwss	0	0	2.0	3.0	0	0	0.0	0
for the world's more full of weeping than you can	swswswswsws	0	6.0	0	0	0	0	0.0	0
                                        	swswswswwsw	0	4.0	0	1.0	0	0	1.0	0
                                        	wwswswswsws	0	4.0	0	1.0	0	0	1.0	0
                                        	wwswswswwsw	0	2.0	0	2.0	0	0	2.0	0
                                        	swswswswssw	0	4.0	0	1.0	10.0	0	0.0	0
                                        	wwswswswssw	0	2.0	0	2.0	10.0	0	1.0	0
understand                              	sws	0	0	0	0	0	0	0	0
where the wandering water gushes        	swswwswsw	0	0	0	1.0	0	0	1.0	0
                                        	wswswswsw	3.0	4.0	2.0	0	0	0	0.0	3.0
                                        	wwswwswws	3.0	2.0	2.0	3.0	0	0	0.0	3.0
from the hills above glen car           	swswsws	0	2.0	2.0	0	0	0	0.0	0
                                        	wwswsws	0	0	2.0	1.0	0	0	1.0	0
                                        	wwswwss	3.0	0	2.0	3.0	0	0	0.0	0
in pools among the rushes               	wswswsw	0	0	0	0	0	0	0.0	0
that scarce could bathe a star          	wswsws	0	0	0	0	0	0	0.0	0
we seek for slumbering trout            	wswswws	0	0	0	1.0	0	0	1.0	0
                                        	wswswsw	0	2.0	2.0	0	0	0	0.0	0
                                        	wswswss	0	2.0	0	1.0	10.0	0	0.0	0
and whispering in their ears            	wswwsws	0	0	0	1.0	0	0	1.0	0
                                        	wswswsw	0	4.0	2.0	0	0	0	0.0	0
                                        	wswswss	0	4.0	0	1.0	10.0	0	0.0	0
give them unquiet dreams                	swwsws	0	0	0	1.0	0	0	1.0	0
                                        	wswsws	0	2.0	2.0	0	0	0	0.0	0
                                        	swwsww	0	0	2.0	2.0	0	1.0	0.0	0
                                        	sswwss	3.0	4.0	2.0	3.0	10.0	0	0	3.0
leaning softly out                      	swsws	0	2.0	0	0	0	0	0.0	0
