line                                    	meter	[*footmin-no-s-unless-preceded-by-ww]	[*footmin-none]	[*posthoc-no-final-ww]	[*posthoc-standardize-weakpos]	[*strength.s=>-u]	[*strength.w=>-p]	[*stress.s=>-u]	[*stress.w=>-p]
                                        	swsww	0	0	0	1.0	0	1.0	1.0	0
from ferns that drop their tears        	wswsws	0	0	0	0	0	0	0.0	0
over the young streams                  	swwss	0	0	0	2.0	0	0	0	0
                                        	swsws	0	2.0	2.0	0	0	0	0.0	0
                                        	swwsw	0	0	2.0	1.0	0	0	1.0	0
i{come away o human child               	wswswsws	0	0	2.0	0	0	0	0.0	0
                                        	sswswsws	0	0	0	1.0	10.0	0	0.0	0
to to waters and the wild               	swswsws	0	4.0	0	0	0	0	0.0	0
                                        	wwswsws	0	2.0	0	1.0	0	0	1.0	0
                                        	wwswwss	0	2.0	0	3.0	0	0	0.0	0
with a faery hand in hand               	swswsws	0	2.0	0	0	0	0	0.0	0
                                        	wwswsws	0	0	0	1.0	0	0	1.0	0
                                        	wwswwss	0	0	2.0	3.0	0	0	0.0	0
for to world's more full of weeping than you can	swswswswsws	0	6.0	0	0	0	0	0.0	0
                                        	swswswswwsw	0	4.0	0	1.0	0	0	1.0	0
                                        	wwswswswsws	0	4.0	0	1.0	0	0	1.0	0
                                        	wwswswswwsw	0	2.0	0	2.0	0	0	2.0	0
                                        	swswswswssw	0	4.0	0	1.0	10.0	0	0.0	0
                                        	wwswswswssw	0	2.0	0	2.0	10.0	0	1.0	0
understand                              	sws	0	0	0	0	0	0	0	0
away with us he's going                 	wswswsw	0	2.0	0	0	0	0	0.0	0
the solemn eyed                         	wsws	0	0	0	0	0	0	0.0	0
he'll hear no more the lowing           	wswswsw	0	0	2.0	0	0	0	0.0	0
                                        	wsswwsw	0	0	0	2.0	10.0	0	1.0	0
                                        	wsswssw	0	2.0	0	2.0	20.0	0	0.0	0
of the calves on the warm hillside      	wwswwsws	3.0	0	2.0	2.0	0	0	1.0	0
                                        	swswwsws	3.0	2.0	2.0	1.0	0	0	1.0	0
                                        	wwswwsww	3.0	0	2.0	3.0	0	1.0	0.0	0
                                        	swswswsw	3.0	4.0	4.0	0	0	0	0.0	0
                                        	wswswsws	3.0	4.0	4.0	0	0	0	0.0	0
                                        	wwswswsw	3.0	2.0	4.0	1.0	0	0	1.0	0
                                        	swswswss	0	4.0	2.0	1.0	10.0	0	0.0	0
                                        	wwswswss	0	2.0	2.0	2.0	10.0	0	1.0	0
or the kettle on the hob                	swswsws	0	4.0	0	0	0	0	0.0	0
                                        	wwswsws	0	2.0	0	1.0	0	0	1.0	0
                                        	wwswwss	0	2.0	0	3.0	0	0	0.0	0
sing peace into his breast              	wswsws	0	0	2.0	0	0	0	0.0	0
                                        	sswsws	0	0	0	1.0	10.0	0	0.0	0
or see the brown mice bob               	wswsws	0	0	2.0	0	0	0	0.0	0
round and round the oatmeal chest       	swswsws	3.0	0	2.0	0	0	0	0.0	0
                                        	wswwssw	0	2.0	2.0	2.0	0	0	1.0	0
                                        	swswssw	0	0	2.0	1.0	10.0	0	0.0	0
i{for be comes the human child          	swwswsws	0	0	0	1.0	0	0	1.0	0
                                        	swwsswws	3.0	2.0	2.0	3.0	0	0	0.0	0
                                        	wswswsws	3.0	2.0	2.0	0	0	0	0.0	3.0
                                        	swsswsws	0	0	0	1.0	10.0	0	0.0	0
to the waters and the wild              	swswsws	0	4.0	0	0	0	0	0.0	0
                                        	wwswsws	0	2.0	0	1.0	0	0	1.0	0
                                        	wwswwss	0	2.0	0	3.0	0	0	0.0	0
with a faery hand in hand               	swswsws	0	2.0	0	0	0	0	0.0	0
                                        	wwswsws	0	0	0	1.0	0	0	1.0	0
                                        	wwswwss	0	0	2.0	3.0	0	0	0.0	0
from a world more full of weeping than you can	swswswswsws	0	6.0	0	0	0	0	0.0	0
                                        	swswswswwsw	0	4.0	0	1.0	0	0	1.0	0
                                        	wwswswswsws	0	4.0	0	1.0	0	0	1.0	0
                                        	wwswswswwsw	0	2.0	0	2.0	0	0	2.0	0
                                        	swswswswssw	0	4.0	0	1.0	10.0	0	0.0	0
                                        	wwswswswssw	0	2.0	0	2.0	10.0	0	1.0	0
understand                              	sws	0	0	0	0	0	0	0	0
the brawling of a sparrow in the eaves  	wswswswsws	0	2.0	0	0	0	0	0.0	0
the brilliant moon and all the milky sky	wswswswsws	0	0	0	0	0	0	0.0	0
and all that famous harmony of leaves   	wswswswsws	0	2.0	0	0	0	0	0.0	0
had blotted out man's image and his cry 	wswwsswsws	0	2.0	0	2.0	0	0	1.0	0
                                        	wswswswsws	0	4.0	2.0	0	0	0	0.0	0
                                        	sswwsswwss	0	2.0	0	5.0	10.0	0	0.0	0
a girl arose that had red mournful lips 	wswswswsws	0	0	2.0	0	0	0	0.0	0
                                        	wswswwssws	0	0	0	2.0	0	0	1.0	0
                                        	wswsswssws	0	0	0	2.0	20.0	0	0.0	0
and seemed the greatness of the world in tears	wswswswsws	0	2.0	0	0	0	0	0.0	0
doomed like odysseus and the labouring ships	swwswswwswws	0	2.0	0	3.0	0	0	1.0	0
                                        	swwswwswswws	0	2.0	0	3.0	0	0	1.0	0
                                        	wswswswwswws	0	2.0	2.0	2.0	0	0	2.0	0
                                        	wswswwswswws	0	2.0	2.0	2.0	0	0	2.0	0
                                        	wswswswwswsw	0	4.0	4.0	1.0	0	0	1.0	0
                                        	wswswwswswsw	0	4.0	4.0	1.0	0	0	1.0	0
                                        	wswswswwssws	0	4.0	2.0	2.0	0	0	1.0	3.0
                                        	wswswswswsws	3.0	6.0	4.0	0	0	0	0.0	3.0
                                        	swwswswswsws	3.0	6.0	2.0	1.0	0	0	1.0	3.0
                                        	sswswswwswsw	0	4.0	2.0	2.0	10.0	0	1.0	0
                                        	sswswwswswsw	0	4.0	2.0	2.0	10.0	0	1.0	0
                                        	wswswswwswss	0	4.0	2.0	2.0	10.0	0	1.0	0
                                        	wswswwswswss	0	4.0	2.0	2.0	10.0	0	1.0	0
                                        	sswswswswsws	3.0	6.0	2.0	1.0	10.0	0	0.0	3.0
and proud as priam murdered with his peers	wswswswsws	0	2.0	0	0	0	0	0.0	0
arose and on the instant clamorous eaves	wswswswswws	0	2.0	0	1.0	0	0	1.0	0
                                        	wswswswswsw	0	4.0	2.0	0	0	0	0.0	0
                                        	wswswswswss	0	4.0	0	1.0	10.0	0	0.0	0
a climbing moon upon an empty sky       	wswswswsws	0	0	0	0	0	0	0.0	0
and all that lamentation of the leaves  	wswwswsws	0	2.0	0	1.0	0	0	1.0	0
                                        	swswswsws	0	4.0	0	0	0	0	0.0	0
                                        	wwswswsws	0	2.0	0	1.0	0	0	1.0	0
                                        	wsswswsws	0	2.0	0	1.0	10.0	0	0.0	0
                                        	wwswwswws	3.0	2.0	2.0	3.0	0	0	0.0	3.0
could but compose man's image and his cry	swwswswsws	0	2.0	2.0	1.0	0	0	1.0	0
                                        	wswswswsws	0	4.0	2.0	0	0	0	0.0	0
                                        	swwswwswws	3.0	2.0	2.0	3.0	0	0	0.0	3.0
he stood among a crowd at dromahair     	wswswswsw	3.0	0	2.0	0	0	0	0.0	0
                                        	wswswswss	0	0	0	1.0	10.0	0	0.0	0
his heart hung all upon a silken dress  	wswswswsws	0	0	2.0	0	0	0	0.0	0
                                        	wsswwswsws	0	0	0	2.0	10.0	0	1.0	0
and he had known at last some tenderness	wswswswsws	0	4.0	0	0	0	0	0.0	0
                                        	wwsswswsws	0	2.0	0	2.0	0	0	1.0	0
                                        	wswswswsww	0	2.0	0	1.0	0	1.0	1.0	0
                                        	wwsswswsww	0	0	0	3.0	0	1.0	2.0	0
                                        	wwswwswsww	0	0	2.0	3.0	0	1.0	1.0	0
                                        	wwsswwssww	0	0	2.0	5.0	0	1.0	0.0	0
                                        	wwswwsswws	3.0	2.0	4.0	4.0	0	0	0.0	0
                                        	wwsswwswws	3.0	2.0	4.0	4.0	0	0	0.0	0
                                        	wwsswwswws	3.0	2.0	4.0	4.0	0	0	0.0	0
                                        	wwswswswsw	3.0	2.0	6.0	1.0	0	0	1.0	3.0
before earth took him to her stony care 	wswswswsws	0	2.0	2.0	0	0	0	0.0	0
but when a man poured fish into a pile  	wswswswsws	0	0	2.0	0	0	0	0.0	0
it seemed they raised their little silver heads	wswswswsws	0	0	0	0	0	0	0.0	0
and sang what gold morning or evening sheds	wswwswwsws	0	0	2.0	2.0	0	0	2.0	0
                                        	wswwswwsws	0	0	2.0	2.0	0	0	2.0	0
                                        	swswswwsws	0	2.0	4.0	1.0	0	0	1.0	0
                                        	wswwswwsww	0	0	4.0	3.0	0	1.0	1.0	0
                                        	wswwswwsww	0	0	4.0	3.0	0	1.0	1.0	0
                                        	wswswswsws	3.0	2.0	2.0	0	0	0	0.0	3.0
                                        	wswsswwsws	0	0	0	2.0	10.0	0	1.0	0
upon a woven world forgotten isle       	wswswswsws	0	0	0	0	0	0	0.0	0
where people love beside the ravelled seas	wswswswsws	0	0	0	0	0	0	0.0	0
that time can never mar a lover's vows  	wswswswsws	0	0	0	0	0	0	0.0	0
under that woven changeless roof of boughs	swwswswsws	0	0	0	1.0	0	0	1.0	0
                                        	wswswswsws	3.0	2.0	2.0	0	0	0	0.0	3.0
                                        	swsswswsws	0	0	0	1.0	10.0	0	0.0	0
the singing shook him out of his new ease	wswswswwss	0	2.0	0	2.0	0	0	1.0	0
                                        	wswswswsws	0	4.0	2.0	0	0	0	0.0	0
                                        	wswswswwsw	0	2.0	2.0	1.0	0	0	1.0	0
                                        	wswswwswsw	0	2.0	2.0	1.0	0	0	1.0	0
he wandered by the sands of lissadell   	wswswswsws	0	4.0	0	0	0	0	0.0	0
                                        	wswswswsww	0	2.0	0	1.0	0	1.0	1.0	0
his mind ran all on money cares and fears	wswswswsws	0	0	2.0	0	0	0	0.0	0
                                        	wsswwswsws	0	0	0	2.0	10.0	0	1.0	0
and he had known at last some prudent years	wswswswsws	0	2.0	0	0	0	0	0.0	0
                                        	wwsswswsws	0	0	0	2.0	0	0	1.0	0
                                        	wwsswwssww	0	0	2.0	5.0	0	1.0	0.0	0
                                        	wwswwsswws	3.0	0	4.0	4.0	0	0	0.0	0
                                        	wwsswwswws	3.0	0	4.0	4.0	0	0	0.0	0
                                        	wwsswwswws	3.0	0	4.0	4.0	0	0	0.0	0
before they heaped his grave under the hill	wswswwswws	0	0	2.0	2.0	0	0	2.0	0
                                        	wswswwswsw	0	2.0	4.0	1.0	0	0	1.0	0
                                        	wswswswsws	3.0	2.0	2.0	0	0	0	0.0	3.0
                                        	wswswwssws	0	2.0	2.0	2.0	0	0	1.0	3.0
                                        	wswswsswws	0	0	0	2.0	10.0	0	1.0	0
                                        	wswswsswsw	0	2.0	2.0	1.0	10.0	0	0.0	0
                                        	wswswwswss	0	2.0	2.0	2.0	10.0	0	1.0	0
                                        	swswswswsw	3.0	6.0	8.0	0	0	0	0.0	0
                                        	wswswsswss	0	2.0	0	2.0	20.0	0	0.0	0
but while he passed before a plashy place	wswswswsws	0	0	0	0	0	0	0.0	0
a lug worm with its grey and muddy mouth	wswswswsws	0	2.0	2.0	0	0	0	0.0	0
                                        	wwswwswsws	0	0	2.0	2.0	0	0	2.0	0
                                        	wwswwswsww	0	0	4.0	3.0	0	1.0	1.0	0
                                        	wsswwswsws	0	0	0	2.0	10.0	0	1.0	0
                                        	wwswwsswws	3.0	2.0	4.0	4.0	0	0	0.0	0
                                        	wwswwswwsw	3.0	2.0	6.0	3.0	0	0	1.0	3.0
sang that somewhere to north or west or south	swwswswsws	3.0	0	2.0	1.0	0	0	1.0	0
                                        	wswswswsws	3.0	0	4.0	0	0	0	0.0	0
                                        	swswwswsws	3.0	0	2.0	1.0	0	0	1.0	0
                                        	swwswswsws	3.0	0	2.0	1.0	0	0	1.0	0
                                        	swsswswsws	0	0	0	1.0	10.0	0	0.0	0
there dwelt a gay exulting gentle race  	wswswswsws	0	0	0	0	0	0	0.0	0
under the golden or the silver skies    	swwswswsws	0	2.0	0	1.0	0	0	1.0	0
                                        	swwswwswws	3.0	2.0	2.0	3.0	0	0	0.0	0
                                        	wswswswsws	3.0	4.0	2.0	0	0	0	0.0	3.0
that if a dancer stayed his hungry foot 	swwswswsws	0	0	0	1.0	0	0	1.0	0
                                        	wswswswsws	0	2.0	0	0	0	0	0.0	0
it seemed the sun and moon were in the fruit	wswswswsws	0	0	0	0	0	0	0.0	0
and at that singing he was no more wise 	wswswswsws	0	2.0	0	0	0	0	0.0	0
