posnum	numobs	x_mean	y_mean	x_std	y_std
1	274	0.0802919708029	0.383211678832	0.272241924318	0.487058802787
2	273	0.282051282051	0.593406593407	0.450824617336	0.492099836939
3	272	0.209558823529	0.433823529412	0.407743982419	0.496514878019
4	266	0.236842105263	0.571428571429	0.425945994311	0.495804500207
5	258	0.197674418605	0.403100775194	0.399019248296	0.491474076646
6	248	0.302419354839	0.612903225806	0.460234706832	0.488071100869
7	196	0.122448979592	0.433673469388	0.32864308822	0.496850362357
8	129	0.217054263566	0.68992248062	0.413847048854	0.464328305398
9	76	0.0789473684211	0.447368421053	0.271448357015	0.500526039072
10	48	0.125	0.770833333333	0.334218682392	0.424744395394
11	10	0.0	0.5	0.0	0.527046276695
12	3	0.0	1.0	0.0	0.0
