constraint	pos0	pos1	pos10	pos11	pos2	pos3	pos4	pos5	pos6	pos7	pos8	pos9
[*strength.w=>-p]	0.0037037037037	0.0037037037037	0.0037037037037	0.0	0.00772200772201	0.00793650793651	0.0	0.0	0.0263157894737	0.0	0.0	0.0
[*stress.s=>-u]	0.0925925925926	0.0407407407407	0.0111111111111	0.0792452830189	0.042471042471	0.0793650793651	0.0330188679245	0.0548780487805	0.0526315789474	0.0819672131148	0.357142857143	0.0
[*stress.w=>-p]	0.062962962963	0.0222222222222	0.0851851851852	0.0188679245283	0.042471042471	0.0277777777778	0.0283018867925	0.00609756097561	0.0657894736842	0.0	0.0	0.0
[*footmin-none]	0.0555555555556	0.137037037037	0.111111111111	0.0716981132075	0.0694980694981	0.0555555555556	0.0660377358491	0.0365853658537	0.0131578947368	0.0	0.0	0.0
[*footmin-no-s-unless-preceded-by-ww]	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
[*posthoc-no-final-ww]	0.0	0.0	0.0	0.0	0.0	0.00396825396825	0.0	0.0	0.0	0.0	0.0	0.0
[*posthoc-standardize-weakpos]	0.0	0.0	0.0	0.00754716981132	0.015444015444	0.0833333333333	0.0896226415094	0.134146341463	0.157894736842	0.147540983607	0.142857142857	0.25
[*strength.s=>-u]	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
