position	strength.w=>-p	stress.s=>-u	stress.w=>-p	footmin-none	footmin-no-s-unless-preceded-by-ww	posthoc-no-final-ww	posthoc-standardize-weakpos	strength.s=>-u
pos0	1	25	17	15	0	0	0	0
pos1	1	11	6	37	0	0	0	0
pos2	1	3	23	30	0	0	0	0
pos3	0	21	5	19	0	0	2	0
pos4	2	11	11	18	0	0	4	0
pos5	2	20	7	14	0	1	21	0
pos6	0	7	6	14	0	0	19	0
pos7	0	9	1	6	0	0	22	0
pos8	2	4	5	1	0	0	12	0
pos9	0	5	0	0	0	0	9	0
pos10	0	5	0	0	0	0	2	0
pos11	0	0	0	0	0	0	1	0
