line                                    	meter	[*footmin-no-s-unless-preceded-by-ww]	[*footmin-none]	[*posthoc-no-final-ww]	[*posthoc-standardize-weakpos]	[*strength.s=>-u]	[*strength.w=>-p]	[*stress.s=>-u]	[*stress.w=>-p]
of mans first disobedience and the fruit	wswswswswws	0	0	2.0	2.0	1.0	0	0	1.0
                                        	wswswswwsws	0	0	2.0	2.0	1.0	0	0	1.0
                                        	wswswswswsw	0	0	4.0	4.0	0	0	0	0.0
                                        	wswswswswss	0	0	4.0	2.0	1.0	10.0	0	0.0
of that forbidden tree whose mortal tast	wswswswsws	0	0	0	0	0	0	0	0.0
brought death into the world and all our woe	wswswswsws	0	0	0	2.0	0	0	0	0.0
                                        	sswswswsws	0	0	0	0	1.0	10.0	0	0.0
with loss of eden till one greater man  	wswswswsws	0	0	2.0	0	0	0	0	0.0
