hellowello	`hɛ.ləʊ.'ɛ.ləʊ
doob	'dʉːb
dooby	'dʉː.bɪ
3d	'θɹi.'di
994280	'naɪn.'hʌn.dɹʌ.dʌn.'naɪn.tɪ.'fɔː.'θaʊ.zʌnd.'tʉː.'hʌn.dɹʌ.dʌ.'neɪ.tɪ
kongo	'kɑŋ.ɡəʊ
577	'faɪv.'hʌn.dɹʌ.dʌn.'sɛ.vʌn.tɪ.'sɛ.vʌn
civilizing	'sɪ.vʌ.`laɪ.zɪŋ
19200	'naɪn.tin.'θaʊ.zʌnd.'tʉː.'hʌn.dɹʌd
postoffice	'pəʊ.stɑ.fɪs
1st	'fəːst
promptness	'pɹɑmpt.nʌs
21518	'twɛn.tɪ.'wɑn.'θaʊ.zʌnd.'faɪv.'hʌn.dɹʌ.dʌ.'neɪ.tin
dutiable	'djʉː.ʃɪ.ʌ.bʌl
421856711	'fɔː.'hʌn.dɹʌ.dʌn.'twɛn.tɪ.'wɑn.'mɪ.leɪ.ʌ.'neɪt.'hʌn.dɹʌ.dʌn.'fɪf.tɪ.'sɪks.'θaʊ.zʌnd.'sɛ.vʌn.'hʌn.dɹʌ.dʌ.nɪ.'lɛ.vʌn
100000	'wɑn.'hʌn.dɹʌd.'θaʊ.zʌnd
84000000	'eɪ.tɪ.'fɔː.'mɪ.leɪ.ʌn
387131	'θɹi.'hʌn.dɹʌ.dʌ.'neɪ.tɪ.'sɛ.vʌn.'θaʊ.zʌn.'dwɑn.'hʌn.dɹʌ.dʌn.'θəː.tɪ.'wɑn
503003717	'faɪv.'hʌn.dɹʌ.dʌn.'θɹi.'mɪ.leɪ.ʌn.'θɹi.'θaʊ.zʌnd.'sɛ.vʌn.'hʌn.dɹʌ.dʌn.'sɛ.vʌn.`tin
3360	'θɹi.'θaʊ.zʌnd.'θɹi.'hʌn.dɹʌ.dʌn.'sɪk.stɪ
internalrevenue	ɪn.'təː.nʌl.`ɹɛ.vʌn.`jʉː
33000000	'θəː.tɪ.'θɹi.'mɪ.leɪ.ʌn
longdeferred	`lɑŋ.dɪ.'fəːd
1063	'wɑn.'θaʊ.zʌn.dʌn.'sɪk.stɪ.'θɹi
attorneygeneral	ʌ.'təː.nɪ.'dʒɛ.nʌ.ɹʌl
civilservice	'sɪ.vɪl.sʌ.vɪs
illdefined	ɪl.'dɛ.faɪnd
chickamauga	'tʃɪ.kʌ.`mɔː.ɡʌ
spoilsmen	'spɔɪl.smɛn
140699760	'wɑn.'hʌn.dɹʌ.dʌn.'fɔː.tɪ.'mɪ.leɪ.ʌn.'sɪks.'hʌn.dɹʌ.dʌn.'naɪn.tɪ.'naɪn.'θaʊ.zʌnd.'sɛ.vʌn.'hʌn.dɹʌ.dʌn.'sɪk.stɪ
instructively	ɪn.'stɹʌk.tɪv.lɪ
30	'θəː.tɪ
1893	'wɑn.'θaʊ.zʌn.'deɪt.'hʌn.dɹʌ.dʌn.'naɪn.tɪ.'θɹi
51966074	'fɪf.tɪ.'wɑn.'mɪ.leɪ.ʌn.'naɪn.'hʌn.dɹʌ.dʌn.'sɪk.stɪ.'sɪks.'θaʊ.zʌn.dʌn.'sɛ.vʌn.tɪ.'fɔː
135000	'wɑn.'hʌn.dɹʌ.dʌn.'θəː.tɪ.'faɪv.'θaʊ.zʌnd
30th	'θəː.teɪ.ʌθ
12	'twɛlv
33690	'θəː.tɪ.'θɹi.'θaʊ.zʌnd.'sɪks.'hʌn.dɹʌ.dʌn.'naɪn.tɪ
4000	'fɔː.'θaʊ.zʌnd
laupepa	'lɔː.pɛ.pʌ
thepassage	'θɛ.pæ.sɪdʒ
966012	'naɪn.'hʌn.dɹʌ.dʌn.'sɪk.stɪ.'sɪks.'θaʊ.zʌn.dʌn.'twɛlv
1	'wɑn
1885	'wɑn.'θaʊ.zʌn.'deɪt.'hʌn.dɹʌ.dʌ.'neɪ.tɪ.'faɪv
coastdefense	'kəʊst.dɛ.fʌns
extraditable	'ɛk.stɹʌ.`daɪ.tʌ.bʌl
25	'twɛn.tɪ.'faɪv
50750000	'fɪf.tɪ.'mɪ.leɪ.ʌn.'sɛ.vʌn.'hʌn.dɹʌ.dʌn.'fɪf.tɪ.'θaʊ.zʌnd
1894	'wɑn.'θaʊ.zʌn.'deɪt.'hʌn.dɹʌ.dʌn.'naɪn.tɪ.'fɔː
14	'fɔː.tin
1890	'wɑn.'θaʊ.zʌn.'deɪt.'hʌn.dɹʌ.dʌn.'naɪn.tɪ
6500000	'sɪk.'smɪ.leɪ.ʌn.'faɪv.'hʌn.dɹʌd.'θaʊ.zʌnd
dominions	dʌ.'mɪ.neɪ.ʌnz
31st	'θəː.tɪ.'fəːst
impels	ɪm.'pɛlz
38152874	'θəː.tɪ.'eɪt.'mɪ.leɪ.ʌn.'wɑn.'hʌn.dɹʌ.dʌn.'fɪf.tɪ.'tʉː.'θaʊ.zʌn.'deɪt.'hʌn.dɹʌ.dʌn.'sɛ.vʌn.tɪ.'fɔː
112597	'wɑn.'hʌn.dɹʌ.dʌn.'twɛlv.'θaʊ.zʌnd.'faɪv.'hʌn.dɹʌ.dʌn.'naɪn.tɪ.'sɛ.vʌn
indorse	ɪn.'dɔːs
thereto	ðəː.'tʉː
comports	kʌm.'pɔːts
