natur	nɑ.'tuːɾ
naturen	nɑ.'tuː.ɾən
kultur	kʊl.'tuːɾ
kulturen	kʊl.'tuː.ɾən
figur	fiː.'ɡuːɾ
figuren	fiː.'ɡuː.ɾən
